,gene_symbol,pmid,type_of_biomarker,type_of_rna_biomarker
394,SERPINA1,35052804,Protein Biomarker,
395,ADD3,34970477,DNA Biomarker,
396,SOX1,34953010,Protein Biomarker,
396,SOX2,34953010,Protein Biomarker,
396,SOX3,34953010,Protein Biomarker,
397,LGALS3BP,34900729,Protein Biomarker,
398,PLPP4,34917513,Protein Biomarker,
399,nan,34942001,RNA Biomarker,circRNA
400,VIM,34338912,Protein Biomarker,
401,PRKCA,34344068,DNA Biomarker,
402,PITPNA-AS1,34470587,RNA Biomarker,lncRNA
403,IDH1,34826036,Protein Biomarker,
403,ATRX,34826036,Protein Biomarker,
403,p53,34826036,Protein Biomarker,
404,MIR98,34837760,RNA Biomarker,miRNA
404,MIR183,34837760,RNA Biomarker,miRNA
404,MIR323,34837760,RNA Biomarker,miRNA
404,MIR19B,34837760,RNA Biomarker,miRNA
405,TTF1,34871801,Protein Biomarker,
