pmid,doi,journal,publication_time,title,abstract,keywords,gene_symbol,biomarker,description,type_of_biomarker,type_of_rna_biomarker,clinical_use,level_of_evidence,research_region,total_number,male,female,mean_age,age,grade,source,key_experiment,up_regulator,down_effector_or_targets,knowledge_points,disease_type,disease_subtype,disease_classification,sensitivity,specificity,area_under_the_curve,supplementary_statistics
20096670,10.1016/j.brainres.2010.01.037,Brain Res,2010,The expression profile of FRAT1 in human gliomas,"FRAT1 was originally characterized as a protein frequently rearranged in advanced T cell  lymphoma, which inhibits GSK-3-mediated phosphorylation of β-catenin and positively  regulates the Wnt signaling pathway. FRAT1 has been identified as a proto-oncogene  involved in tumorigenesis. Previous studies have shown that FRAT1 is strikingly  overexpressed in some human cancers. However, the relationship between FRAT1 and  human gliomas is unclear. In this study, we detected the expression of FRAT1 in human  gliomas by immunohistochemistry, Western blot and RT-PCR. FRAT1 was found to be  specifically expressed in the majority of glioma samples, and their expression levels  increased markedly with the increase of WHO grades. In addition, there was a positive  correlation between FRAT1 immunoreactivity score (IRS) and β-catenin IRS. Our results  suggest that FRAT1 may be an important factor in the tumorigenesis and progression of  gliomas, and could be used as a potential molecular marker for pathological diagnosis and a  target for biological therapy.",FRAT1; β-catenin; Glioma; Immunohistochemistry; Western blot; RT-PCR,FRT1,Frequently rearranged in advanced T cell lymphomas-1 (FRAT1),"FRAT1 may be an important factor in the tumorigenesis and progression of gliomas, and could be used as a potential molecular marker for pathological diagnosis and a target for biological therapy.",Protein Biomarker,NA,Diagnositic,"Tier 3, Biomarker is validated in pre-clinical research",China,NA,NA,NA,NA,NA,"I,II,III,IV",Tissue,"Immunohistochemistry,RT-PCR,Western Blot",NA,NA,"1. FRAT1 was found to be specifically expressed in the majority of glioma samples, and their expression levels increased markedly with the increase of WHO grades; 2. There was a positive correlation between FRAT1 immunoreactivity score (IRS) and β catenin IRS; 3. FRAT1 may be an important factor in the tumorigenesis and progression of gliomas, and could be used as a potential molecular marker for pathological diagnosis and a target for biological therapy;",Glioma,Glioma,Glioma,NA,NA,NA,NA 
15146346,10.1007/s00401-004-0873-8,Acta Neuropathol,2004,Microtubule-associated protein-2 immunoreactivity:  a useful tool in the differential diagnosis  of low-grade neuroepithelial tumors,"Complex and variable morphological pheno types pose a major challenge to the histopathological clas sification of neuroepithelial tumors. This applies in partic ular for low-grade gliomas and glio-neuronal tumors. Re cently, we and others have identified microtubule-associ ated protein-2 (MAP2) as an immunohistochemical marker  expressed in the majority of glial tumors. Characteristic  cell morphologies can be recognized by MAP2 immuno reactivity in different glioma entities, i.e., process sparse  oligodendroglial versus densely ramified astrocytic ele ments. Here, we describe MAP2-immunoreactivity patterns  in a large series of various neuroepithelial tumors and re lated neoplasms (n=960). Immunohistochemical analysis  led to the following conclusions: (1) specific pattern of  MAP2-positive tumor cells can be identified in 95% of  glial neoplasms; (2) ependymal tumors do not express  MAP2 in their rosette-forming cell component; (3) tumors  of the pineal gland as well as malignant embryonic tumors  are also characterized by abundant MAP2 immunoreac tivity; (4) virtually no MAP2 expression can be observed  in the neoplastic glial component of glio-neuronal tumors,  i.e. gangliogliomas; (5) malignant glial tumor variants  (WHO grade III or IV) exhibit different and less specific  MAP2 staining patterns compared to their benign counter parts (WHO grade I or II); (6) with the exception of  melanomas and small cell lung cancers, MAP2 expression  is very rare in metastatic and non-neuroepithelial tumors;  (7) glial MAP2 expression was not detected in 56 non neoplastic lesions. These data point towards MAP2 as valu able diagnostic tool for pattern recognition and differen tial diagnosis of low-grade neuroepithelial tumors.",Microtubule-associated protein-2; Neuropathology; Gliomas; Astrocytomas; Precursor cells,MAP2,MAP2,These data point towards MAP2 as valuable diagnostic tool for pattern recognition and differential diagnosis of low-grade neuroepithelial tumors.,Protein Biomarker,NA,Diagnositic,"Tier 3, Biomarker is validated in pre-clinical research",Germany,960,NA,NA,NA,NA,"I,II,III,IV",Tissue,Immunohistochemistry,NA,NA,"1. Specific pattern of MAP2-positive tumor cells can be identified in 95% of glial neoplasms; 2. Ependymal tumors do not express MAP2 in their rosette-forming cell component; 3. Tumors of the pineal gland as well as malignant embryonic tumors are also characterized by abundant MAP2 immunoreactivity; 4. Virtually no MAP2 expression can be observed in the neoplastic glial component of glio-neuronal tumors, i.e. gangliogliomas; 5. Malignant glial tumor variants (WHO grade III or IV) exhibit different and less specific MAP2 staining patterns compared to their benign counterparts (WHO grade I or II); 6. With the exception of melanomas and small cell lung cancers, MAP2 expression is very rare in metastatic and non-neuroepithelial tumors; 7. Glial MAP2 expression was not detected in 56 nonneoplastic lesions;",Glioma,"Astrocytoma,Oligodendroglioma",Glioma,NA,NA,NA,NA 
15663956,10.1016/j.neulet.2004.10.051,Neurosci Lett,2005,Lack of expression of the liver-type glutaminase (LGA) mRNA in human malignant gliomas,"In the central nervous system (CNS), liver-type glutaminase (LGA) shows a unique nuclear localization suggesting its role in the regulation of transcription rather than in the cellular glutamine metabolism. RT-PCR analysis of RNA derived from postoperative tissue samples revealed the absence or only traces of LGA mRNA in all (9) cases of malignant gliomas (astrocytoma anaplasticum, AA, WHO grade III; glioblastoma multiforme, WHO grade IV) examined. The RNA was strongly expressed in the non-neoplastic tissue derived from the same patients,and in most of the brain metastases from different organs (5 out of 7 cases). By contrast, the mRNAs coding for the kidney-type glutaminase and its less ubiquitous isoform GAC, which catalyze degradation of the cytoplasmic pool of Gln, were expressed in all the tissues examined. The lack of LGA may be thus considered as a useful negative diagnostic marker of highly malignant gliomas in situ.",Glioblastoma multiforme; Astrocytoma; Liver-type glutaminase; Kidney-type glutaminase; RT-PCR,GLS2,LGA,The lack of LGA may be thus considered as a useful negative diagnostic marker of highly malignant gliomas in situ.,RNA Biomarker,mRNA,Diagnositic,"Tier 3, Biomarker is validated in pre-clinical research",Poland,22,NA,NA,NA,NA,NA,Tissue,RT-PCR,NA,NA,"1. RT-PCR analysis of RNA derived from postoperative tissue samples revealed the absence or only traces of LGA mRNA in all (9) cases of malignant gliomas (astrocytoma anaplasticum, AA, WHO grade III; glioblastoma multiforme, WHO grade IV) examined; 2. The RNA was strongly expressed in the non-neoplastic tissue derived from the same patients (6 cases), and in most of the brain metastases from different organs (5 out of 7 cases); 3. The mRNAs coding for the kidney-type glutaminase (KGA) and its less ubiquitous isoform GAC, which catalyze degradation of the cytoplasmic pool of Gln, were expressed in all the tissues examined; 4. The lack of LGA may be thus considered as a useful negative diagnostic marker of highly malignant gliomas in situ;",Glioma,"Astrocytoma Anaplasticum,Glioblastoma",Glioma,NA,NA,NA,NA 
32081419,10.1016/j.bbrc.2020.02.017,Biochem Biophys Res Commun,2020,Glioma-derived endothelial cells promote glioma cells migration via extracellular vesicles-mediated transfer of MYO1C,"Extracellular vesicles (EV), as the intercellular information transfer molecules which can regulate the tumor microenvironment, promote migration and tumor progression. Previous studies reported that EV from endothelial cells was used to guide the fate and survival of gliomas, but many researches focus on normal human endothelial cells (NhEC) rather than tumor-derived endothelial cells. Our laboratory isolated human endothelial cells from glioma issue (GhEC). We have previously demonstrated that EV from GhEC and NhEC, which both can promote glioma stem cells (GSC) proliferation and tumorsphere formation in vitro and tumourigenicity in vivo by the transfer of CD9. However, NhEC-EV or GhEC-EV could suppress glioma cells (GC) proliferation in vitro. It demonstrates the undifferentiated impact of EV. Here, we first compared GhEC-EV proteins with NhEC-EV (Screening criteria: GhEC-EV/NhEC-EV, FC > 1.5), and obtained 70 differential expression proteins, most of which were associated with invasion and migration. We found that GhEC or GhEC-EV preferred promoting GC migration than treating with NhEC or NhEC-EV. In terms of mechanism, we further revealed that EV-mediated transfer of MYO1C induced glioma cell LN229 migration. Knockdown of MYO1C in GhEC or GhEC-EV suppressed this effect. Overexpression of MYO1C promoted migration on the contrary. MYO1C was also detected in glioma cerebrospinal fluid (CSF), which is more suitable as a liquid biopsy biomarker and contributes to early diagnosis and monitoring in glioma. Our findings provide a new proteindMYO1C in EV to target tumor blood vessels, and bring a new point-cut to the treatment of gliomablastoma (GBM).",Glioma; Endothelial cells; Extracellular vesicles; Migration; MYO1C,MYO1C,MYO1C,"MYO1C was also detected in glioma cerebrospinal fluid (CSF), which is more suitable as a liquid biopsy biomarker and contributes to early diagnosis and monitoring in glioma. Our findings provide a new proteindMYO1C in EV to target tumor blood vessels, and bring a new point-cut to the treatment of gliomablastoma (GBM).",Protein Biomarker,NA,"Diagnositic,Therapeutic","Tier 3, Biomarker is validated in pre-clinical research",China,10,NA,NA,NA,NA,NA,Tissue,Liquid chromatography tandem mass spectrometry (LC-MS),NA,NA,"1. EV-mediated transfer of MYO1C induced glioma cell LN229 migration. Knockdown of MYO1C in GhEC or GhEC-EV suppressed this effect; 2. Overexpression of MYO1C promoted migration on the contrary; 3. MYO1C was also detected in glioma cerebrospinal fluid (CSF), which is more suitable as a liquid biopsy biomarker and contributes to early diagnosis and monitoring in glioma;",Glioma,Glioma,Glioma,NA,NA,NA,NA 
20501753,10.1158/1055-9965.EPI-09-1213,Cancer Epidemiol Biomarkers Prev,2010,"Grade-Specific Expression of Insulin-like Growth Factor-Binding Proteins-2, -3, and -5 in Astrocytomas: IGFBP-3 Emerges as a Strong Predictor of Survival in Patients with Newly Diagnosed Glioblastoma","Background: Insulin-like growth factor (IGF)-binding protein (IGFBP) isoforms have been implicated in the pathogenesis of human neoplasms including glioma. In view of this, we evaluated the expression of IGFBP isoforms (IGFBP-2, -3, and -5) during malignant progression of astrocytoma and their prognostic significance in glioblastoma.  Methods: The expression of IGFBP isoforms was analyzed in diffusely infiltrating astrocytomas by realtime quantitative PCR (n = 203) and immunohistochemistry (n = 256). Statistical methods were used to assess their grade-specific expression pattern and mRNA-protein intercorrelation. Survival analyses were done on a uniformly treated, prospective cohort of adult patients with newly diagnosed glioblastoma (n = 136) by using Cox regression models.  Results: The mean transcript levels of IGFBP-2 and -3 were significantly higher in glioblastomas (GBM) relative to anaplastic astrocytoma (AA), diffuse astrocytoma (DA), and controls whereas IGFBP-5 mRNA was higher in GBM relative to AA and controls (P < 0.05). By immunohistochemistry, the mean labeling index of all isoforms was significantly higher in GBM compared with AA, DA, and control (P < 0.05). A strong positive correlation was observed between their respective mRNA and protein expressions (P < 0.01). Multivariate analysis revealed IGFBP-3 expression (hazard ratio, 1.021; P = 0.030) and patient age (hazard ratio, 1.027; P = 0.007) to be associated with shorter survival in glioblastoma.  Conclusions: This study shows the associations of IGFBP-2, -3, and -5 expression with increasing grades of malignancy in astrocytomas. IGFBP-3 is identified as a novel prognostic glioblastoma biomarker. The strong correlation between their mRNA and protein expression patterns suggests their role in the pathogenesis of these tumors.  Impact: IGFBP isoforms have emerged as biomarkers with diagnostic and prognostic utility in astrocytomas. ",NA,IGFBP,IGFBP,IGFBP isoforms have emerged as biomarkers with diagnostic and prognostic utility in astrocytomas. ,Protein Biomarker,NA,"Diagnositic,Prognostic","Tier 3, Biomarker is validated in pre-clinical research",India,203,NA,NA,NA,NA,"II,III",Tissue,"Immunohistochemistry,qRT-PCR",NA,NA,"1. The mean transcript levels of IGFBP-2 and -3 were significantly higher in glioblastomas (GBM) relative to anaplastic astrocytoma (AA), diffuse astrocytoma (DA), and controls whereas IGFBP-5 mRNA was higher in GBM relative to AA and controls (P < 0.05); 2. By immunohistochemistry, the mean labeling index of all isoforms was significantly higher in GBM compared with AA, DA, and control (P < 0.05); 3. A strong positive correlation was observed between their respective mRNA and protein expressions (P < 0.01); 4. Multivariate analysis revealed IGFBP-3 expression (hazard ratio, 1.021; P = 0.030) and patient age (hazard ratio, 1.027; P = 0.007) to be associated with shorter survival in glioblastoma;",Glioma,"Astrocytoma,Glioblastoma",Glioma,NA,NA,NA,NA 
24308561,10.1111/cns.12214,CNS Neurosci Ther,2013,Serological Identification of URGCP as a Potential Biomarker for Glioma,"Aim: Glioblastoma multiforme (GBM) is one of the most frequent human brain tumor and causes dismal outcome. To identify tumor-associated antigens in GBM patients may find potential diagnostic markers and immunotherapeutic targets. In this study, we identified a gene termed URGCP using the serological identification of antigens by recombinant A2B5 positive glioma cDNA library. The gene product of URGCP is immunogenic in GBM after tested in allogenic patients serum screening. Methods and results: GBM patients with an auto-antibody response against URGCP show longer survival than those without URGCP response. In additional, we show that URGCP was high expression in most GBM tissues and cell lines compared with normal brain tissues and majorly co-expressed with stem cell marker A2B5. Conclusion: We identified a potential new biomarker of GBM, URGCP. The findings indicate that URGCP is immunogenic in human GBM and suggest its potential use as diagnostic and immunotherapeutic for GBM patients. ",A2B5; GBM; SEREX; URGCP,URGCP,URGCP,URGCP is immunogenic in human GBM and suggest its potential use as diagnostic and immunotherapeutic for GBM patients. ,Protein Biomarker,NA,Diagnositic,"Tier 3, Biomarker is validated in pre-clinical research",China,NA,NA,NA,NA,NA,"II,III,IV","Tissue,Serum","Immunohistochemistry,ELISA,qRT-PCR",NA,NA,1. URGCP was expressed highly in most of glioma cell lines; 2. The mRNA lever of URGCP was high expressed in human glioma cells compared with normal brain; 3. URGCP was high expressed in both low- and high-grade gliomas;,Glioma,Glioblastoma,Glioma,NA,NA,NA,NA 
24483339,10.1111/cns.12232,CNS Neurosci Ther,2014,AJAP1 is Dysregulated at an Early Stage of Gliomagenesis and Suppresses Invasion Through Cytoskeleton Reorganization,"Aims:Down-regulation of AJAP1 in glioblastoma multiforme (GBM) has been reported.However, the expression profiles of AJAP1 in gliomas and the underlying mechanisms of AJAP1 function on invasion are still poorly understood. Methods: The gene profiles of AJAP1 in glioma patients were studied among four independent cohorts. Confocal imaging was used to analyze the AJAP1 localization. After AJAP1 overexpression in GBM cell lines, cellular polarity, cytoskeleton distribution, and antitumor effect were investigated in vitro and in vivo. Results: AJAP1 expression was significantly decreased in gliomas compared with normal brain in REMBRANDT and CGCA cohorts. Additionally, low AJAP1 expression was associated with worse survival in GBMs in REMBRANDT and TCGA U133A cohorts and was significantly associated with classical and mesenchymal subtypes of GBMs among four cohorts. Confocal imaging indicated AJAP1 localized in cell membranes in low-grade gliomas and AJAP1-overexpressing GBM cells, but difficult to assess in high-grade gliomas due to its absence. AJAP1 overexpression altered the cytoskeleton and cellular polarity in vitro and inhibited the tumor growth in vivo. Conclusions: AJAP1 is dysregulated at an early stage of gliomagenesis and may suppress glioma cell invasion and proliferation, which suggests that AJAP1 may be a potential diagnostic and prognostic marker for gliomas.",AJAP1; Cytoskeleton; Glioma; Invasion; Proliferation,AJAP1,AJAP1,"AJAP1 is dysregulated at an early stage of gliomagenesis and may suppress glioma cell invasion and proliferation, which suggests that AJAP1 may be a potential diagnostic and prognostic marker for gliomas.",Protein Biomarker,NA,"Diagnositic,Prognostic","Tier 2, Biomarker is validated in clinical trials or case reports",China,NA,NA,NA,NA,NA,"II,III,IV",Tissue,"Immunohistochemistry,Immunofluorescence",NA,NA,"1. AJAP1 expression was significantly decreased in gliomas compared with normal brain in REMBRANDT and CGCA cohorts; 2. Low AJAP1 expression was associated with worse survival in GBMs in REMBRANDT and TCGA U133A cohorts and was significantly associated with classical and mesenchymal subtypes of GBMs among four cohorts; 3. Confocal imaging indicated AJAP1 localized in cell membranes in low-grade gliomas and AJAP1-overexpressing GBM cells, but difficult to assess in high-grade gliomas due to its absence; 4. AJAP1 overexpression altered the cytoskeleton and cellular polarity in vitro and inhibited the tumor growth in vivo;",Glioma,Glioma,Glioma,NA,NA,NA,NA 
19594548,10.1111/j.1349-7006.2009.01244.x,Cancer Sci,2009,Novel anti-filamin-A antibody detects a secreted variant of filamin-A in plasma from patients with breast carcinoma and high-grade astrocytoma,"Identification of tumor-derived proteins in the circulation may allow for early detection of cancer and evaluation of therapeutic responses. To identify circulating tumor-derived proteins, mice were immunized with concentrated culture medium conditioned by human breast cancer cells. Antibodies generated by hybridomas were screened against conditioned media from both normal epithelial cells and tumor cells. Antibody selectively reacting with tumor cell-conditioned media was further characterized. This led to the development of a monoclonal antibody (Alper-p280) that reacts with a newly identified 280-kDa secreted variant of human filaminA. Circulating filamin-A was detected in patient plasma samples using Alper-p280 in an ELISA assay. Human plasma samples from 134 patients with brain, breast, or ovarian cancer, 15 patients with active arthritis, and 76 healthy controls were analyzed. Filamin-A protein levels in human cell lines and tissues were analyzed by western blotting, immunohistochemistry, and electron and confocal microscopy. Circulating filamin-A was detected in the plasma of 109 of 143 patients with breast cancer and primary brain tumors. Plasma levels of filamin-A showed 89.5% sensitivity (95% confidence interval [CI] = 0.67% to 0.99%) and 97.8% specificity (95%CI = 0.88% to 0.99%) for glioblastoma at a cut-off of 21.0 ng/mL. Plasma levels of filamin-A (>36.0 ng/mL) had 96.7% sensitivity (95%CI = 0.80% to 0.99%) and 67.8% specificity (95% CI = 0.54% to 0.79%) for metastatic breast cancer. Filamin-A levels were increased in malignant breast or brain tissues, but not in normal control tissues. Filamin-A localized to lysosomes in MDA.MB.231 breast cancer cells, but not in normal human mammary epithelial cells, suggesting that filamin-A may undergo cancer-specific processing. Plasma filamin-A appears to be a specific and sensitive marker for patients with high-grade astrocytoma or metastatic breast cancer. Additional novel cancer biomarkers have been identified and are being developed alongside Alper-p280 for use in diagnosis of breast carcinoma and high-grade astrocytoma, and for use in the evaluation of therapeutic responses.",NA,FLNA,Filamin-A,"In summary, the results of this study suggest that circulating filamin-A could be used as a diagnostic and prognostic cancer-specific marker in breast and primary brain tumors.",Immunological Biomarker,NA,"Diagnositic,Prognostic","Tier 3, Biomarker is validated in pre-clinical research",USA,NA,NA,NA,NA,NA,"II,III,IV",Plasma,"ELISA,Immunohistochemistry",NA,NA,"1. Circulating filamin-A was detected in the plasma of 109 of 143 patients with breast cancer and primary brain tumors; 2. Filamin-A levels were increased in malignant breast or brain tissues, but not in normal control tissues; 3. Filamin-A localized to lysosomes in MDA.MB.231 breast cancer cells, but not in normal human mammary epithelial cells, suggesting that filamin-A may undergo cancer-specific processing; 4. Plasma filamin-A appears to be a specific and sensitive marker for patients with high-grade astrocytoma or metastatic breast cancer;",High-Grade Astrocytoma,Glioblastoma,Glioblastoma / Astrocytoma,0.895,0.978,NA,Plasma levels of filamin-A showed 89.5% sensitivity (95% confidence interval [CI] = 0.67% to 0.99%) and 97.8% specificity (95% CI = 0.88% to 0.99%) for glioblastoma at a cut-off of 21.0 ng/mL.
18821037,10.1007/s12032-008-9094-7,Med Oncol,2009,Significance of p53 and CD31 in astrogliomas,"Background Astrogliomas are the most common primary brain tumor. Its progression is the result of activation of oncogenes, inactivation of tumor suppressor genes (TSGs), and expression of various growth factors. The angiogenesis and p53 in astrogliomas play an important role in its grading, treatment strategies, and hence its clinical outcome. Objectives To analyze the frequency of presentation and the possible co-expression of p53 and angiogenesis marker (CD31) and their clinical implications in astrogliomas. Material and methods This retrograde study included 45 cases with astrocytomas in the form of paraffin blocks. Sections were stained with hematoxylin and eosin to determine the type and histological grade according to WHO (2007) classification of CNS tumors. Immunostaining was done using anti p53 and CD31 and the results were measured as labeling index (LI) using image analyzer system CAS-200. Results Both p53 and CD31 expressions were correlated well with the histopathological grades of different subtypes of astrogliomas with good discrimination between low and high grades. Overall, a highly significant statistical correlation was observed between the grades of astrocytomas and the p53 and CD31 labeling indices. The expressions of p53 and CD31 were markedly increased in glioblastoma multiforme (GBM) with mean values (59.7 ± 13.5) (P = 0.0001) and (40.7 ± 8.9) (P = 0.001), respectively. Obviously, these observations demonstrate that the co-expression and increased levels of p53 and CD31 in astrogliomas are increasing as the tumor grade is increasing. Conclusion The estimation of p53 and CD31 could be used as good tools to assess the grade, prognosis, and aggressiveness of the astroglial tumors. Thus, the two markers can be used as adjunct to the diagnosis and stratification of the high grade from the low-grade intrinsic brain astrogliomas.",Astroglial brain tumors; p53 and CD31 immunostaining; Image analyzer system CAS-200,TP53; PECAM1,p53; CD31,"Thus, the two markers can be used as adjunct to the diagnosis and stratification of the high grade from the low-grade intrinsic brain astrogliomas.",Protein Biomarker,NA,"Diagnositic,Therapeutic","Tier 2, Biomarker is validated in clinical trials or case reports",Egypt,45,33,12,35.02,35.02(0.92-70),I,Tissue,Immunohistochemistry,NA,NA,"1. Both p53 and CD31 expressions were correlated well with the histopathological grades of different subtypes of astrogliomas with good discrimination between low and high grades; 2. Overall, a highly significant statistical correlation was observed between the grades of astrocytomas and the p53 and CD31 labeling indices; 3. The expressions of p53 and CD31 were markedly increased in glioblastoma multiforme (GBM) with mean values (59.7 ± 13.5) (P = 0.0001) and (40.7 ± 8.9) (P = 0.001), respectively; 4. The co-expression and increased levels of p53 and CD31 in astrogliomas are increasing as the tumor grade is increasing;",High-Grade Astrocytoma,Glioblastoma,Glioblastoma / Astrocytoma,NA,NA,NA,NA 
24435880,10.1093/neuonc/not218,Neuro Oncol,2014,A small noncoding RNA signature found in exosomes of GBM patient serum as a diagnostic tool,"Background. Glioblastoma multiforme (GBM) is the most frequent malignant brain tumor in adults, and its prognosis remains dismal despite intensive research and therapeutic advances. Diagnostic biomarkers would be clinically meaningful to allow for early detection of the tumorand for those cases in which surgery is contraindicated or biopsy results are inconclusive. Recent findings show that GBM cells release microvesicles that contain a select subset of cellular proteins and RNA. The aim of this hypothesis-generating study was to assess the diagnostic potential of miRNAs found in microvesicles isolated from the serum of GBM patients. Methods. To control disease heterogeneity, we used patients with newly diagnosed GBM. In the discovery stage, PCR-based TaqMan Low Density Arrays followed by individual quantitative reverse transcriptase polymerase chain reaction were used to test the differences in the miRNA expression levels of serum microvesicles among 25 GBM patients and healthy controls paired by age and sex. The detected noncoding RNAs were then validated in another 50 GBM patients. Results. We found that the expression levels of 1 small noncoding RNA (RNU6-1) and 2 microRNAs (miR-320 and miR-574-3p) were significantly associated with a GBM diagnosis. In addition, RNU6-1 was consistently an independent predictor of a GBM diagnosis. Conclusions. Altogether our results uncovered a small noncoding RNA signature in microvesicles isolated from GBM patient serum that could be used as a fast and reliable differential diagnostic biomarker.",Biomarkers; diagnosis; exosomes; GBM; sncRNAs,RNU6-1; MIR320A; MIR574,RNU6-1; miR-320; miR-574-3p,"Altogether our results support the notion that the expression levels of RNU6-1, miR-320, and miR-574-3p found in exosomes isolated from serum have the power to discriminate healthy individuals from GBM patients and therefore could serve as diagnostic biomarkers.",RNA Biomarker,miRNA,Diagnositic,"Tier 3, Biomarker is validated in pre-clinical research",France,75,44,31,NA,NA,NA,Serum,qRT-PCR,NA,NA,1. The expression levels of 1 small noncoding RNA (RNU6-1) and 2 microRNAs (miR-320 and miR-574-3p) were significantly associated with a GBM diagnosis; 2. RNU6-1 was consistently an independent predictor of a GBM diagnosis;,Glioblastoma,Glioblastoma,Glioblastoma / Astrocytoma,0.87,0.86,0.926,"The obtained classifier had a good diagnostic performance, as shown by ROC analyses, with areas under the curve of 0.926 (95% confidence interval [CI], 0.84-1; P < .0001) for the 3 sncRNAs together, 0.852 (95% CI, 0.74-0.96; P = .0001) for RNU6-1, 0.720 (95% CI, 0.56-0.87; P = .0067) for miR-320, and 0.738 (95% CI, 0.58-0.89; P = .0055) for miR-574-3p. At a cutoff value of 0.349 for the 3 sncRNAs, sensitivity was 87% and specificity was 86%.  These results suggested that either RNU6-1 alone or the miR-320/miR-574-3p/RNU6-1 combined signature could have diagnostic value in GBM patients."
23851827,NA,J Craniofac Surg,2013,"O-Linked Mannose A-1,2-N-acetylglucosaminyltransferase 1 Correlated With the Malignancy in Glioma"," O-linkedmannoseA-1,2-N-acetylglucosaminyltransferase 1 (PomGnT1) constitutes one third of the O-linked glycoproteins in brain tissue. However, its functions have been seldom investigated in brain cancers. In this study, immunohistochemistry was used for the detection of the PomGnT1 protein in 133 cases of glioma tissues. Spearman correlation analysis was used for the relationship between PomGnT1 staining and the glioma grade. Receiver operating characteristic curve was used to measure the diagnostic value of PomGnT1 protein in the degree of glioma malignance. We found that PomGnT1 expression was correlated with glioma grade, and it could be used as a marker to distinguish low- and high-grade gliomas. Stably transfected U87 cells were constructed to overexpress short hairpin RNA of PomGnT1. Immunofluorescence test detected that this protein also could restrain the generation of U87 cells' pseudopodia. Western blotting further showed that the PomGnT1 protein had an impact on the c-myc protein level. In conclusion, our data suggest that PomGnT1 protein was correlated with the malignance of glioma progression, the mechanism involved in glioma cell's pseudopodium formation, and the expression of c-myc protein.",PomGnT1; receiver operating characteristic (ROC) curve; pseudopodia; c-myc; glioma,POMGNT1,PomGnT1," our data suggest that PomGnT1 protein was correlated with the malignance of glioma progression, the mechanism involved in glioma cell's pseudopodium formation, and the expression of c-myc protein.",Protein Biomarker,NA,"Diagnositic,Prognostic","Tier 3, Biomarker is validated in pre-clinical research",China,133,NA,NA,NA,NA,"I,II,III,IV",Tissue,Immunohistochemistry,NA,NA,"1. PomGnT1 expression was correlated with glioma grade, and it could be used as a marker to distinguish low- and high-grade gliomas; 2. Stably transfected U87 cells were constructed to overexpress short hairpin RNA of PomGnT1; 3. Immunofluorescence test detected that this protein also could restrain the generation of U87 cells' pseudopodia; 4. Western blotting further showed that the PomGnT1 protein had an impact on the c-myc protein level;",Glioma,Glioma,Glioma,NA,NA ,0.803,"From statistical analysis of an ROC curve, we observed that the PomGnT1 protein could be used as a diagnostic index for distinguishing grade III or higher glioma (area under the curve, 0.803; P< 0.01)"
26317248,10.1080/01635581.2015.1073757,Nutr Cancer,2015,Association Between Prediagnostic Serum 25-Hydroxyvitamin D Concentration and Glioma,"There are no previous studies of the association between prediagnostic serum vitamin D concentration and glioma. Vitamin D has immunosuppressive properties; as does glioma. It was, therefore, our hypothesis that elevated vitamin D concentration would increase glioma risk. We conducted a nested case-control study using specimens from the Janus Serum Bank cohort in Norway. Blood donors who were subsequently diagnosed with glioma (n = 592), between 1974 and 2007, were matched to donors without glioma (n = 1112) on date and age at blood collection and sex. We measured 25-hydroxyvitamin D [25 (OH)D], an indicator of vitamin D availability, using liquid chromatography coupled with mass spectrometry. Seasonally adjusted odds ratios (ORs) and 95% confidence intervals (95% CIs) were estimated for each control quintile of 25(OH)D using conditional logistic regression. Among men diagnosed with high grade glioma >56, we found a negative trend (P = .04). Men diagnosed   56 showed a borderline positive trend (P = .08). High levels (>66 nmol/L) of 25(OH)D in men >56 were inversely related to high grade glioma from  2 yr before diagnosis (OR = 0.59; 95% CI = 0.38, 0.91) to  15 yr before diagnosis (OR = 0.61; 95% CI = 0.38,0.96). Our findings are consistent long before glioma diagnosis and are therefore unlikely to reflect preclinical disease.",Serum 25-Hydroxyvitamin D Concentration; Glioma,NA,25-Hydroxyvitamin D [25 (OH)D],NA,Metabolic Biomarker,NA,Diagnositic,"Tier 3, Biomarker is validated in pre-clinical research",USA,592,NA,NA,NA,NA,NA,Peripheral blood,Liquid chromatography tandem mass spectrometry (LC-MS),NA,NA,"1. Among men diagnosed with high grade glioma >56, we found a negative trend (P = 0.04); 2. Men diagnosed ≤ 56 showed a borderline positive trend (P = 0.08); 3. High levels (>66 nmol/L) of 25(OH)D in men >56 were inversely related to high grade glioma from 2 yr before diagnosis (OR = 0.59; 95% CI = 0.38, 0.91) to 15 yr before diagnosis (OR = 0.61; 95% CI = 0.38,0.96);",Glioma,Glioma,Glioma,NA,NA,NA,NA 
